date,columna1,columna2,columna3,columna4,columna5,columna6,columna7,columna8,columna9,columna10,columna11,columna12,columna13,columna14,columna15,columna16,columna17,columna18,columna19,columna20,columna21,columna22,columna23,columna24,columna25,columna26,columna27,columna28,columna29,columna30,columna31,columna32,columna33
2017-08-29,3176756875,2769204516,591768188,167357582,32268500,19909196,22799065,64467677,44943273,35015013,68953201,17997725,70921965,5980111,30077914,11076966,247171775,91758347,36297428,26759576,28701343,1597005003,209211333,1069654920,318138750,195941988,14586694,107610068,78842432,57069020,41851930,15217090,172191376
2017-08-30,3317608014,2900458981,721921621,174338684,51839288,23653854,32120038,80226152,38057600,57440404,72883252,22642698,94380798,15329020,27061948,31947885,169532383,149537455,64908403,41348306,43280746,1499347504,259737155,936242120,303368229,185874661,15105512,102388056,106019102,53162069,38133422,15028647,88269347
2017-08-31,18088484554,16377677353,4265356568,1039676120,201201499,92907251,266465772,524430088,89192739,317959791,304656657,90849431,236089092,77136820,102750376,922040932,592321502,916407231,378993120,235652565,301761546,6528123052,597214990,4438056050,1492852012,767158510,398829248,326864254,1586656074,184602693,63574792,121027901,586267820
2017-09-01,4923449838,3751876762,636495634,178350547,27092986,16963367,13917061,40739940,26496962,33692228,104657850,11584929,88981289,8253540,28368043,57396892,461860657,171980303,99659180,39203413,33117710,1274993632,126753495,800716601,347523536,227406793,23258954,96857789,170344386,77719658,47918867,29800791,965864151
2017-09-02,766209379,715836231,82628193,35924668,13265312,2078424,1370026,1433530,3376354,3983343,3228533,2622625,10479693,605731,416299,3843655,23456699,3668781,1644605,220637,1803539,497682422,8969933,171188767,317523722,236484895,9424193,71614634,14038315,43765630,31181531,12584099,37823663
2017-09-03,337343469,307936250,36292130,17412769,733888,537562,1794558,3948364,398430,2255308,2542647,623512,5090023,650981,167776,136312,7691797,1828937,1496197,81267,251473,146718467,1430258,64665073,80623136,45750763,8188268,26684105,24965265,44398549,33254600,11143949,17878319
2017-09-04,2830714552,2287697475,563549687,159875349,29212152,23055786,21859575,50259645,33334760,31375842,70664716,11441914,80275638,10949824,27630106,13614380,272087250,70476795,26728907,21576722,22171166,1120942577,115309462,680633549,324999566,209029878,15838178,100131510,58145649,69775902,45789460,23986442,242677001
2017-09-05,2781534655,2250937434,578975844,155102768,26544864,17183077,16998469,45471952,37906697,33975253,72135870,13275030,108559470,9553344,27466013,14803037,242993068,94773776,52556055,14472230,27745491,1164810184,142313489,737060944,285435751,178487678,15368771,91579302,71649468,44254163,34806335,9447828,109509922
2017-09-06,2682301440,2298580194,572799240,167629784,28046950,16679221,23925877,51954021,46103205,35048316,55957776,16323549,91190137,9712091,14081410,16146903,236339789,55158365,28890911,9366213,16901241,1187201867,156226318,728782084,302193465,182929753,14407310,104856402,66197258,47183041,36862268,10320773,180308226
2017-09-07,2712547899,2357772445,611488800,169920619,27143181,15975282,16284786,57181605,33822532,36477793,63255373,16215517,90200309,9742262,24123557,51145984,186408878,76096700,38808357,9915348,27372995,1264003521,149040602,815411512,299551407,185104745,18029967,96416695,55657071,49084480,35739848,13344632,65251188
